cropName,state,district,quantity,month,season,historicalAvgPrice,price_per_kg
Tomato,Maharashtra,Pune,500,6,Kharif,22.5,26.80
Tomato,Maharashtra,Nashik,1200,11,Rabi,28.0,32.50
Potato,Punjab,Ludhiana,2000,3,Rabi,16.0,18.20
Potato,Uttar Pradesh,Agra,1500,2,Rabi,15.5,17.80
Onion,Maharashtra,Nashik,800,4,Summer,20.0,24.50
Onion,Karnataka,Bangalore,600,5,Summer,18.5,22.00
Rice,West Bengal,Burdwan,3000,10,Kharif,32.0,36.00
Rice,Andhra Pradesh,Guntur,4000,9,Kharif,30.5,34.80
Wheat,Punjab,Amritsar,5000,4,Rabi,19.0,21.50
Wheat,Madhya Pradesh,Indore,3500,3,Rabi,18.5,20.80
Maize,Karnataka,Hassan,1000,9,Kharif,14.0,15.90
Maize,Rajasthan,Udaipur,800,8,Kharif,13.5,15.20
Sugarcane,Maharashtra,Solapur,8000,1,Whole Year,3.2,3.80
Sugarcane,Uttar Pradesh,Muzaffarnagar,10000,12,Whole Year,3.0,3.60
Cotton,Gujarat,Rajkot,2000,11,Kharif,58.0,64.50
Cotton,Maharashtra,Yavatmal,1800,10,Kharif,55.0,61.00
Soybean,Madhya Pradesh,Ujjain,1200,10,Kharif,43.0,47.80
Soybean,Maharashtra,Latur,900,9,Kharif,41.5,46.20
Groundnut,Gujarat,Junagadh,1500,11,Kharif,52.0,58.00
Groundnut,Andhra Pradesh,Kurnool,1200,10,Kharif,50.0,55.50
Banana,Maharashtra,Jalgaon,3000,7,Whole Year,28.0,32.00
Banana,Tamil Nadu,Tiruchirappalli,2500,6,Whole Year,26.5,30.50
Mango,Maharashtra,Ratnagiri,800,5,Summer,75.0,88.00
Mango,Andhra Pradesh,Krishnagiri,1000,4,Summer,70.0,82.00
Grapes,Maharashtra,Nashik,600,3,Rabi,82.0,95.00
Grapes,Karnataka,Bijapur,500,2,Rabi,78.0,91.50
Apple,Himachal Pradesh,Shimla,400,9,Rabi,110.0,128.00
Apple,Jammu And Kashmir,Sopore,350,8,Rabi,108.0,125.00
Cabbage,Maharashtra,Pune,700,1,Winter,10.0,12.50
Cauliflower,Maharashtra,Nasik,600,12,Winter,18.0,21.80
Brinjal,Tamil Nadu,Coimbatore,400,7,Kharif,13.0,15.50
Okra,Gujarat,Surat,350,6,Kharif,27.0,31.00
Peas,Uttar Pradesh,Varanasi,800,1,Rabi,37.0,42.50
Carrot,Himachal Pradesh,Solan,500,10,Rabi,22.0,27.00
Tomato,Karnataka,Kolar,900,8,Kharif,24.0,28.50
Tomato,Tamil Nadu,Salem,750,7,Kharif,21.5,25.80
Potato,Bihar,Patna,2500,2,Rabi,14.5,16.90
Onion,Rajasthan,Alwar,700,3,Rabi,17.0,20.50
Rice,Tamil Nadu,Thanjavur,3500,9,Kharif,33.0,37.50
Wheat,Haryana,Karnal,4500,4,Rabi,19.5,22.00
//new data entries
Tomato,Andhra Pradesh,Chittoor,850,8,Kharif,23.0,27.50
Tomato,Himachal Pradesh,Solan,600,9,Kharif,25.5,30.00
Potato,West Bengal,Hooghly,3000,1,Rabi,13.5,15.80
Potato,Madhya Pradesh,Gwalior,1800,3,Rabi,15.0,17.20
Onion,Gujarat,Bhavnagar,900,4,Summer,19.5,23.50
Onion,Madhya Pradesh,Mandsaur,750,5,Summer,21.0,25.00
Rice,Odisha,Cuttack,2800,10,Kharif,31.0,35.20
Rice,Chhattisgarh,Raipur,3200,11,Kharif,29.5,33.50
Wheat,Rajasthan,Jaipur,4000,4,Rabi,18.0,20.50
Wheat,Uttar Pradesh,Kanpur,3000,3,Rabi,19.0,21.00
Maize,Bihar,Bhagalpur,900,9,Kharif,13.0,14.80
Maize,Andhra Pradesh,Warangal,1100,8,Kharif,14.5,16.50
Sugarcane,Tamil Nadu,Erode,9000,2,Whole Year,3.1,3.70
Sugarcane,Karnataka,Mandya,7500,1,Whole Year,2.9,3.50
Cotton,Telangana,Warangal,1600,11,Kharif,56.0,62.50
